pais,cpi,regiao
Argentina,3.9,America_do_sul
Australia,8.7,Oceania
Austria,7.9,Europa
Belgium,7.1,Europa
Brazil,4,America_do_sul
Canada,8.9,EUA_e_Canada
Chile,6.2,America_do_sul
China,2.5,Asia
Colombia,4,America_do_sul
Cyprus,6.3,Europa
Czech Rep.,4.6,Europa
Denmark,9.3,Europa
Egypt,2.1,Asia
France,6.8,Europa
Germany,7.9,Europa
Greece,3.5,Europa
Iceland,8.5,Europa
India,2.3,Asia
Indonesia,1.8,Asia
Ireland,8,Europa
Italy,3.9,Europa
Kazakhstan,1.9,Asia
Kuwait,2.8,Asia
Lebanon,1.5,Asia
Malaysia,3.4,Asia
Netherlands,8.8,Europa
New Zealand,9.3,Oceania
Norway,8.6,Europa
Oman,3.3,Asia
Philippines,1.4,Asia
Poland,5.3,Europa
Portugal,6,Europa
Romania,3.7,Europa
Russia,2.1,Europa
Saudi Arabia,3.7,Asia
Serbia,3.5,Europa
South Africa,2.8,Asia
Spain,6.1,Europa
Sweden,9.2,Europa
Switzerland,8.7,Europa
Taiwan,3.8,Asia
Thailand,2.5,Asia
Turkey,4.4,Europa
Ukraine,2.4,Europa
United Kingdom,7.6,Europa
United States,7.1,EUA_e_Canada
Venezuela,2.8,America_do_sul
Jordan,2,Asia
Syria,1,Asia
Iraq,0.8,Asia
