uf,municipio,codigo,escola,rede,saeb,rendimento
RO,Alta Floresta D'Oeste,11024666,EMEIEF BOA ESPERANCA,Municipal,5.33183333333333,0.76609170841533
RO,Alta Floresta D'Oeste,11024682,EEEF EURIDICE LOPES PEDROSO,Estadual,,0.910890251171668
RO,Alta Floresta D'Oeste,11024828,EMEIEF IZIDORO STEDILE,Municipal,5.43233333333333,0.884657564064256
RO,Alta Floresta D'Oeste,11024917,EMEIEF JOSE BASILIO DA GAMA,Municipal,,
RO,Alta Floresta D'Oeste,11024968,EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA,Estadual,5.56883333333333,0.957628917026243
RO,Alta Floresta D'Oeste,11025077,EMEIEF MARIA DE SOUZA PEGO,Municipal,5.15283333333333,0.897852332485042
RO,Alta Floresta D'Oeste,11025115,EMEIEF MARTIM AFONSO DE SOUZA,Municipal,,
RO,Alta Floresta D'Oeste,11025310,EMEIEF PEDRO ALEIXO,Municipal,5.60833333333333,0.599606327996096
RO,Alta Floresta D'Oeste,11025352,EMEIEF POTY,Municipal,4.617,0.799310521107451
RO,Alta Floresta D'Oeste,11025620,EEEF TANCREDO DE ALMEIDA NEVES,Estadual,,0.916305126964962
RO,Alta Floresta D'Oeste,11025638,EEEFM PADRE EZEQUIEL RAMIN,Estadual,5.12266666666667,0.970903211181017
RO,Ariquemes,11006773,EEEFM CORA CORALINA,Estadual,5.40583333333333,0.951255850293968
RO,Ariquemes,11006846,EEEF ALBINA MARCIO SORDI,Estadual,5.90116666666667,0.806973078552507
RO,Ariquemes,11006854,EMEFM ALDEMIR LIMA CANTANHEDE,Municipal,5.45066666666667,0.975599368474487
RO,Ariquemes,11006889,EEEFM ANISIO TEIXEIRA,Estadual,5.39866666666667,0.936299664292215
RO,Ariquemes,11006900,EMEIEF ARCOIRIS,Municipal,,0.959369707613362
RO,Ariquemes,11007079,EMEF DR DIRCEU DE ALMEIDA,Municipal,,0.77058445728966
RO,Ariquemes,11007168,COLEGIO TIRADENTES DA POLICIA MILITAR  CTPM III,Estadual,5.388,0.836106067583237
RO,Ariquemes,11007249,EMEIEF HENRIQUE DIAS,Municipal,5.31933333333333,0.972851851088994
RO,Ariquemes,11007281,EEEFM JARDIM DAS PEDRAS,Estadual,,0.946734878710302
RO,Ariquemes,11007346,EMEIEF JORGE LUIZ MOULAZ,Municipal,,0.981251650382889
RO,Ariquemes,11007443,EMEIEF MAFALDA RODRIGUES,Municipal,5.07416666666667,0.78578296947897
RO,Ariquemes,11007451,EMEFM MAGDALENA TAGLIAFERRO,Municipal,,
RO,Ariquemes,11007508,EMEFM MARIO QUINTANA,Municipal,,0.863943287037037
RO,Ariquemes,11007524,EEEFM MIGRANTES,Estadual,5.78083333333333,0.994722164369784
RO,Ariquemes,11007605,EMEIEF PADRE ANGELO SPADARI,Municipal,,0.845283018867924
RO,Ariquemes,11007702,EMEIEF PROF PEDRO LOUBACK,Municipal,,0.657275638131773
RO,Ariquemes,11007737,EMEIEF ROBERTO TURBAY,Municipal,4.98516666666667,0.859612907815814
RO,Ariquemes,11007834,EMEIEF VINICIUS DE MORAES,Municipal,5.002,0.958549308284862
RO,Ariquemes,11007885,EEEMTI HEITOR VILLA LOBOS,Estadual,5.2395,0.97172236503856
RO,Ariquemes,11007893,EEEFM RICARDO CANTANHEDE,Estadual,5.476,0.900556048834628
RO,Ariquemes,11041439,EMEIEF PROF LEVI ALVES DE FREITAS,Municipal,,0.972
RO,Ariquemes,11041986,EMEIEF PAULINA MAFINI,Municipal,,0.952089509309284
RO,Ariquemes,11048620,EEEFM PROFESSORA CARMEM IONE DE ARAUJO,Estadual,5.04,0.902528920459949
RO,Ariquemes,11050233,EEEFM PROFESSORA QUITERIA DE OLIVEIRA DA SILVA,Estadual,5.1255,0.958765380604797
RO,Cabixi,11034050,EEEF CHICO MENDES,Estadual,,
RO,Cabixi,11034270,EEEFM PLANALTO,Estadual,,
RO,Cabixi,11034440,EEEFM JOSE DE ANCHIETA,Estadual,5.26566666666667,0.956565255286047
RO,Cacoal,11025999,EMEIEF ANITA GARIBALDI,Municipal,5.35983333333333,0.936271590232281
RO,Cacoal,11026014,EEEFM ANTONIO GONCALVES DIAS,Estadual,5.44466666666667,1.0
RO,Cacoal,11026073,EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA,Estadual,5.62533333333333,0.878711319862964
RO,Cacoal,11026197,EEEFM CARLOS DRUMMOND DE ANDRADE,Estadual,5.31266666666667,0.891565641221605
RO,Cacoal,11026235,EMEIEF CLAUDIO MANOEL DA COSTA,Municipal,,0.992849846782431
RO,Cacoal,11026278,EEEFM CORA CORALINA,Estadual,,
RO,Cacoal,11026294,EMEIEF CRUZEIRO DO NORTE,Municipal,,0.928622971225139
RO,Cacoal,11026367,EMEIEF DR JOAO DE DEUS SIMPLICIO,Municipal,4.82083333333333,1.0
RO,Cacoal,11026464,EEEF FREI CANECA,Estadual,5.73883333333333,0.992948597481759
RO,Cacoal,11026499,EEEFM GRACILIANO RAMOS,Estadual,4.982,0.951827470266742
RO,Cacoal,11026545,EEEFM HONORINA LUCAS DE BRITO,Estadual,5.05483333333333,0.949044807413682
RO,Cacoal,11026626,EEEFM PAULO FREIRE,Estadual,,
RO,Cacoal,11026758,EEEFM MARIA AURORA DO NASCIMENTO,Estadual,5.60933333333333,0.985748302797957
RO,Cacoal,11026766,EMEIEF MARIA MONTESSORI,Municipal,,0.959244112254971
RO,Cacoal,11026812,EMEIEF MONTEIRO LOBATO,Municipal,4.57333333333333,0.973652946529914
RO,Cacoal,11026936,EMEIEF PEDRO ALVARES CABRAL,Municipal,5.01666666666667,0.876714927982299
RO,Cacoal,11026960,EMEIEF PRESIDENTE MEDICI,Municipal,5.3905,0.978723404255319
RO,Cacoal,11027088,EMEIEF SANTOS DUMONT,Municipal,4.49833333333333,0.935214400907999
RO,Cacoal,11027312,EEEFM BERNARDO GUIMARAES,Estadual,5.54733333333333,0.969541816122917
RO,Cacoal,11027320,EEEFM CARLOS GOMES,Estadual,6.08783333333333,0.946131591867805
RO,Cacoal,11027347,EEEFM CLODOALDO NUNES DE ALMEIDA,Estadual,,
RO,Cacoal,11027401,EEEFM CELSO FERREIRA DA CUNHA,Estadual,,0.901597764590685
RO,Cacoal,11041269,ESCOLA AGRICOLA MUNICIPAL DE ENSINO FUNDAMENTAL AUTA RAUPP,Municipal,,
RO,Cacoal,11043342,EMEF MARIA SOCORRO VIANA DE ALMEIDA,Municipal,,0.850501935541449
RO,Cerejeiras,11034513,EMEF AMERICO VESPUCIO,Municipal,,
RO,Cerejeiras,11034777,EEEF GOV JERONIMO GARCIA DE SANTANA,Estadual,5.38066666666667,0.964704457549995
RO,Cerejeiras,11034882,EMEF OLAVO BILAC,Municipal,,
RO,Cerejeiras,11034955,EMEIEF REGINA SPERFELD SEBOLD,Municipal,,
RO,Cerejeiras,11034998,EEEM TANCREDO DE ALMEIDA NEVES,Estadual,,
RO,Cerejeiras,11035056,EEEF CASTRO ALVES,Estadual,6.02133333333333,0.876072731705594
RO,Colorado do Oeste,11035110,EMEIF 16 DE JUNHO,Municipal,,
RO,Colorado do Oeste,11035188,EMEF PROFESSORA CLAIR DA SILVA WEYH,Municipal,4.65,0.943797183759753
RO,Colorado do Oeste,11035277,EMEF DOM JOAO VI,Municipal,5.1295,0.956129519711317
RO,Colorado do Oeste,11035404,EMEF GETULIO VARGAS,Municipal,4.7195,0.925537851075702
RO,Colorado do Oeste,11035420,EMIEF GOVERNADOR ANGELO ANGELIN,Municipal,,
RO,Colorado do Oeste,11035951,EEEFM MANUEL BANDEIRA,Estadual,5.46383333333333,0.934454922724836
RO,Colorado do Oeste,11035960,EEEFM PAULO DE ASSIS RIBEIRO,Estadual,5.16483333333333,0.970194834044782
RO,Corumbiara,11036125,EEEFM COLINA VERDE,Estadual,5.57866666666667,0.787375539447047
RO,Corumbiara,11036397,EEEFM MARECHAL RONDON,Estadual,5.25933333333333,0.952590563868284
RO,Corumbiara,11036486,E E E F M DOUTOR OSWALDO PIANA,Estadual,,
RO,Corumbiara,11036516,EMEIEF PROFESSOR LUIZ BENVENOTO DALA COSTA,Municipal,4.93266666666667,0.727333545359042
RO,Corumbiara,11036575,EEEF SAO ROQUE,Estadual,4.82316666666667,0.9817025788518
RO,Corumbiara,11036648,EMEIEF PROFESSOR DOMINGOS PEREIRA DA ROCHA,Municipal,,
RO,Costa Marques,11005769,EEEF RAIMUNDO DE OLIVEIRA MESQUITA,Estadual,5.24866666666667,0.951839008943188
RO,Costa Marques,11005823,EEEFM ANGELINA DOS ANJOS,Estadual,5.802,0.953781056398109
RO,Costa Marques,11041420,EPMEIF MARIA LUCINETE FIRMINO MIRANDA,Municipal,,0.871600166643249
RO,Costa Marques,11041447,EPMEIF ILTON JOSE MARTINS,Municipal,,0.728442309887257
RO,Costa Marques,11047216,EEEFM DARCY DA SILVEIRA,Estadual,,0.850405868291232
RO,Espigão D'Oeste,11027487,EMEIEF AURELIO BUARQUE DE HOLANDA,Municipal,5.263,0.991803278688525
RO,Espigão D'Oeste,11027533,EMEIEF BRAS CUBAS,Municipal,5.78533333333333,0.960889568398461
RO,Espigão D'Oeste,11027690,EEEF FERNANDA SOUZA DE PAULA,Estadual,5.582,0.995951417004049
RO,Espigão D'Oeste,11027754,EEEFM JEAN PIAGET,Estadual,5.48083333333333,0.928007486945477
RO,Espigão D'Oeste,11027762,EEEF JERRIS ADRIANI TURATTI,Estadual,5.874,1.0
RO,Espigão D'Oeste,11027878,EEEF MARIA LOURENCO CASSIANO,Estadual,5.59133333333333,0.976982097186701
RO,Espigão D'Oeste,11027886,EMEF MARIA ROSA DE OLIVEIRA,Municipal,,0.855972994762644
RO,Espigão D'Oeste,11028335,EMEF TANCREDO DE ALMEIDA NEVES,Municipal,5.42416666666667,0.779668129678656
RO,Espigão D'Oeste,11028394,EEEF VINICIUS DE MORAES,Estadual,,
RO,Espigão D'Oeste,11028424,EEEMTI 7 DE SETEMBRO,Estadual,,
RO,Espigão D'Oeste,11038586,EMEF TEOBALDO FERREIRA,Municipal,,0.929022848350298
RO,GuajaráMirim,11005939,EEEFM ALKINDAR BRASIL DE AROUCA,Estadual,,
RO,GuajaráMirim,11005947,EMEIEF ALMIRANTE TAMANDARE,Municipal,,
RO,GuajaráMirim,11005980,EEEF CAPITAO GODOY,Estadual,4.727,0.970658445944718
RO,GuajaráMirim,11006048,EEEF DURVALINA ESTILBEM DE OLIVEIRA,Estadual,,
RO,GuajaráMirim,11006412,EIEEF POSCIDONIO BASTOS,Estadual,,
RO,GuajaráMirim,11006420,EEEF PRESIDENTE EURICO GASPAR DUTRA,Estadual,4.9285,0.853685060849985
RO,GuajaráMirim,11006617,EEEFM IRMA MARIA CELESTE,Estadual,4.66516666666667,0.914327648718202
RO,GuajaráMirim,11006633,EEEFM ROCHA LEAL,Estadual,4.44566666666667,0.829643900368024
RO,GuajaráMirim,11006641,EEEFM SIMON BOLIVAR,Estadual,,
RO,GuajaráMirim,11006684,INSTITUTO ESTADUAL DE EDUCACAO PAULO SALDANHA,Estadual,5.13866666666667,0.942245371234954
RO,GuajaráMirim,11089806,EEEF SALOMAO JUSTINIANO DE MELGAR,Estadual,4.8125,0.945487513393225
