"country","group","mathematics_2022","reading_2022","science_2022","mathematics_2018","reading_2018","science_2018"
"Australia","OECD","487.08425354734698","498.05093978372099","507.000869417628","491.36002524732402","502.63172429646698","502.96456281136602"
"Austria","OECD","487.26749908879401","480.40584721829902","491.27095877058503","498.94231377018502","484.39256846788697","489.78043922683503"
"Belgium","OECD","489.48681680184899","478.852668384217","490.57834610681402","508.07030630262301","492.86443865136602","498.77312702853197"
"Canada","OECD","496.94789438732198","507.13289582796602","515.01667592948297","512.01694292684499","520.08552094974402","517.99766085055001"
"Chile","OECD","411.69657073076701","447.97895734953102","443.54340246277798","417.40655630857901","452.27255418349699","443.58256338022699"
"Colombia","OECD","382.69683523923197","408.66502644949003","411.12067326415098","390.932273204875","412.29508499344502","413.32299257050897"
"Costa Rica","OECD","384.57604106950799","415.23308021173199","410.98662356029803","402.33055853602298","426.49822500968099","415.62246204059102"
"Czech Republic","OECD","486.99920801507602","488.60366867451103","497.74204709768497","499.467650822959","490.21881483645501","496.79131063200902"
"Denmark","OECD","489.27387686400698","488.80099073132698","493.81571163573102","509.39837458427502","501.12993370997702","492.63703338438103"
"Estonia","OECD","509.94695312703101","511.03033147055498","525.81177838894303","523.41458018670903","523.01701836823804","530.10800457541802"
"Finland","OECD","484.13922564973097","490.21768492422501","510.95885065682899","507.30136184441801","520.07874819168296","521.88456300128598"
"France","OECD","473.94441830649401","473.85215790454299","487.22527848887199","495.40757939134699","492.60647919679298","492.97707394731498"
"Germany","OECD","474.82645387935202","479.794024717816","492.42672947107798","500.04378051165298","498.27925694649701","502.98890330361399"
"Greece","OECD","430.14632180949002","438.44062513755603","440.78606041342698","451.37034380791101","457.41439476568701","451.63274156997102"
"Hungary","OECD","472.77612223890901","472.97472595734598","485.89015836823398","481.08263635897498","475.98667224904398","480.91169390703999"
"Iceland","OECD","458.91401444354199","435.92299455682598","446.96711422657302","495.18737622181999","473.97431690660102","475.024106315381"
"Ireland","OECD","491.64827959407398","516.00997511441506","503.84553694971498","499.63289396778703","518.07845920921795","496.11356166765"
"Israel","OECD","457.89666661311901","473.83269836397801","464.75182530289101","463.03454879840501","470.415177988484","462.19663278425298"
"Italy","OECD","471.25947533329497","481.59827768793701","477.46336566973901","486.58985725929199","476.28467929067398","468.01172728913298"
"Japan","OECD","535.57930594453205","515.85461354437098","546.63445322239102","526.97325016916","503.85604095964402","529.13543338358704"
"Korea","OECD","527.30250200027797","515.41539209757502","527.82241827777602","525.93300203961599","514.05228824343806","519.00725485820703"
"Latvia","OECD","483.159455120676","474.568650865282","493.84276710497699","496.126330622544","478.69867415764003","487.25058821937"
"Lithuania","OECD","475.14676218880697","471.83423007622298","484.46340599730502","481.191188395501","475.87347969004702","482.067012707652"
"Luxembourg","OECD","—","—","—","483.42148500786601","469.98538925379802","476.76940591543803"
"Mexico","OECD","395.02991914664301","415.35896204424199","409.886598247444","408.80147337531503","420.46889230123099","419.20471927474"
"Netherlands","OECD","492.67563898942302","459.24290800804999","488.31683605418402","519.23098239301703","484.78372510872703","503.383819429651"
"New Zealand","OECD","479.07419338779698","500.85301088740101","504.12930481758099","494.48967597553002","505.72728341639299","508.49072143894603"
"Norway","OECD","468.44994986357699","476.52387797394402","478.226464845544","500.96378846276201","499.45095625260598","490.413149379895"
"Poland","OECD","488.96005358907399","488.71362897567002","499.16436195679103","515.647874653798","511.85569538941098","511.03556192996399"
"Portugal","OECD","471.91052213243501","476.58861115946502","484.37346402781498","492.487406151968","491.80078514823902","491.67732849961197"
"Slovak Republic","OECD","463.99461851406897","446.86060741273002","462.26948309170899","486.16485422120797","457.98396699154802","464.047578171596"
"Slovenia","OECD","484.52900869557101","468.536012818328","499.96488259917601","508.89754406909998","495.34561516068999","507.00654589979303"
"Spain","OECD","473.14020809294499","474.30711244891199","484.53364839868601","481.39261258441798","—","483.25204266083398"
"Sweden","OECD","481.76606543002703","486.97515580614299","493.54931913375202","502.38770215454201","505.78522048463202","499.44469009078301"
"Switzerland","OECD","507.99058624683801","483.331733841465","502.52324153909802","515.31471310951599","483.929405173948","495.27628790703898"
"Türkiye","OECD","453.15176726255601","456.08404067810699","475.937802055769","453.50777743499202","465.63166568819503","468.29961800713102"
"United Kingdom","OECD","488.97508504425099","494.40462610659199","499.67021390132697","501.76989918504597","503.92810939577998","504.66747364428699"
"United States","OECD","464.88804296317699","503.93757347399901","499.41406386577802","478.24471737264298","505.35277052284999","502.38003193814097"
"Albania","PARTNERS","368.22171991859398","358.43475820137701","375.96775093356302","437.22199126795903","405.42936626503598","416.72625767367401"
"Albania (2015)","PARTNERS","—","—","—","—","—","—"
"Algeria","PARTNERS","—","—","—","—","—","—"
"Argentina","PARTNERS","377.52902854170799","400.74404349290501","406.19134062443601","379.453816903301","401.50310898906702","404.07144490133101"
"Argentina (2015)","PARTNERS","—","—","—","—","—","—"
"Baku (Azerbaijan)","PARTNERS","396.88229269966899","365.21385830573797","380.14368742449898","419.643112834151","389.388333926109","397.64958111617199"
"Belarus","PARTNERS","—","—","—","471.86514451578802","473.788447220801","471.26368089640403"
"Bosnia and Herzegovina","PARTNERS","—","—","—","406.384407904905","402.97782125609501","398.49766275977902"
"Brazil","PARTNERS","378.69136697306499","410.35697940698998","403.00121361351199","383.56912406027101","412.87331650787399","403.620941886862"
"Brunei Darussalam","PARTNERS","442.09310447074","429.23191176025898","445.85511649005502","430.11296217016002","408.069943872968","430.98437659901998"
"B-S-J-G (China)","PARTNERS","—","—","—","—","—","—"
"B-S-J-Z (China)","PARTNERS","—","—","—","591.39359751805898","555.23624393768398","590.45264053169296"
"Bulgaria","PARTNERS","417.30390035787298","404.30373951586199","420.99321938794401","436.04057107417498","419.84400605754701","424.07358293377399"
"Cambodia","PARTNERS","336.39604131335199","328.84278036629598","347.104162261196","—","—","—"
"Chinese Taipei","PARTNERS","547.09416419952095","515.16728997095902","537.38038098829202","531.14353664218004","502.60114713439702","515.74802784000303"
"Croatia","PARTNERS","463.105189501567","475.498946498598","482.66744934371098","464.20427283886499","478.989152347431","472.36261953963299"
"Cyprus","PARTNERS","418.306679973901","381.075724444537","410.90251737728801","450.68299409244003","424.35824710920099","439.00824967711799"
"Dominican Republic","PARTNERS","339.10724671520001","351.31228660018098","360.42605973447502","325.10054655129602","341.62562065964198","335.62994656576302"
"El Salvador","PARTNERS","343.46910113671998","364.90364380566001","373.14131460314002","—","—","—"
"Georgia","PARTNERS","390.024220314991","373.858350840426","384.06745910272502","397.58635530802502","379.75254063835001","382.66360626595798"
"Guatemala","PARTNERS","344.19948804033402","374.12187083709603","372.96275375307602","—","—","—"
"Hong Kong (China)","PARTNERS","540.35180120700602","499.701340798594","520.41867953315398","551.15427424419704","524.28311717608801","516.68612955890296"
"Indonesia","PARTNERS","365.52525387134699","358.56985961638702","382.86341287987398","378.668131296323","370.96538078959799","396.07005373603198"
"Jamaica","PARTNERS","377.41693922535399","409.632786517753","402.93396139820697","—","—","—"
"Jordan","PARTNERS","361.22802827821999","342.16582808576601","374.527087031718","399.76190931093998","419.06366082026102","429.25207376478397"
"Kazakhstan","PARTNERS","425.43912895339702","386.28474821694101","423.16604583915199","423.146133040179","386.90927460843398","397.10483518001598"
"Kazakhstan (2015)","PARTNERS","—","—","—","—","—","—"
"Kosovo","PARTNERS","354.96244390817299","342.19442056258799","357.02405159474802","365.88494653445798","353.06543250211701","364.88240756554399"
"Lebanon","PARTNERS","—","—","—","393.45005447239498","353.35531656438701","383.71699368918001"
"Macao (China)","PARTNERS","551.92315308368097","510.40512187447899","543.09628138905202","557.67023025382503","525.11616879030498","543.58573360768798"
"Malaysia","PARTNERS","408.68743219324301","388.08780816181797","416.30611576084402","440.20753655557002","414.979514164134","437.61807372824097"
"Malaysia (2015)","PARTNERS","—","—","—","—","—","—"
"Malta","PARTNERS","466.016112916456","445.29883837546203","465.58873860995499","471.72441505446898","448.23476037115802","456.59032276356902"
"Moldova","PARTNERS","414.19806326075002","410.93539895143198","416.85897509641802","420.603998904327","423.99296566038998","428.485266696765"
"Mongolia","PARTNERS","424.59312842888801","378.41987363449903","412.38253663713698","—","—","—"
"Montenegro","PARTNERS","405.60117323290802","405.02045614374401","403.13024200690302","429.61154275189102","421.057573414817","415.17223137167798"
"Morocco","PARTNERS","364.766240669848","339.36492493384299","365.39807584989001","367.72735258538199","359.387886131127","376.59688918913901"
"North Macedonia","PARTNERS","388.57550658529499","358.52212224715697","379.87510596317298","394.44682993704401","392.667769514773","413.04467365921897"
"Palestinian Authority","PARTNERS","365.74667641985502","349.15705045310801","368.81509454060398","—","—","—"
"Panama","PARTNERS","356.57350389273603","391.953355235988","387.767624287866","352.846255666292","376.971316680597","364.62377244166601"
"Paraguay","PARTNERS","337.53975039432402","373.15565431372602","368.32782471116002","—","—","—"
"Peru","PARTNERS","391.23578459018802","408.24785604688299","407.77776086134401","399.83767453208202","400.51370541409199","404.21560100579899"
"Philippines","PARTNERS","354.71971267011003","346.547387252531","356.16729300159898","352.56706774231799","339.69159053285199","356.93332418782501"
"Qatar","PARTNERS","414.106221907139","419.30426755114303","432.40251477243203","414.22871790473198","407.09179226539601","419.127154934749"
"Romania","PARTNERS","427.75999659683998","428.49601732994302","427.511107495864","429.91682702410799","427.70314583114401","425.76122721586103"
"Russia","PARTNERS","—","—","—","487.78653912202401","478.50193409491999","477.71768004348797"
"Saudi Arabia","PARTNERS","388.781607033233","382.55104935032398","390.38761554768598","373.23880563334302","399.15165820378502","386.24614490581502"
"Serbia","PARTNERS","439.87666671301002","440.35496950741299","447.460664510345","448.28305632860099","439.46634143220501","439.873889636098"
"Singapore","PARTNERS","574.663819557029","542.55332240961297","561.43327492065202","569.007779891067","549.464707810135","550.93690009857403"
"Thailand","PARTNERS","393.94535582275802","378.66300441888001","409.26430873803002","418.55550148312602","392.88864046710501","425.813449524845"
"Trinidad and Tobago","PARTNERS","—","—","—","—","—","—"
"Tunisia","PARTNERS","—","—","—","—","—","—"
"Ukraine","PARTNERS","—","—","—","453.11749881568898","465.95014812698298","468.98774252537697"
"Ukraine (18 of 27 Regions)","PARTNERS","440.845308795775","427.52695238230302","450.18723803106599","—","—","—"
"United Arab Emirates","PARTNERS","431.11047671894499","417.34974998983603","431.97947107205999","434.94725191297999","431.78176948127998","433.63680283995899"
"Uruguay","PARTNERS","408.71206637471602","430.35972443854899","435.38477291356702","417.66161725422802","427.11761816387201","425.81267658398599"
"Uzbekistan","PARTNERS","363.935374726188","335.504899734341","354.86356501185202","—","—","—"
"Viet Nam","PARTNERS","469.40242717160203","461.88796580759902","472.380961495777","—","—","—"
