id,fidelidade,sexo,idade,atendimento,sortimento,acessibilidade,preço
1,nao,feminino,34,2,2,1,1
2,nao,feminino,34,2,2,1,1
3,nao,masculino,34,3,2,4,2
4,nao,feminino,34,4,3,3,3
5,nao,feminino,34,4,3,1,4
6,nao,feminino,34,2,3,3,3
7,nao,feminino,34,5,1,4,2
8,nao,feminino,34,2,3,3,3
9,nao,feminino,34,4,3,3,3
10,nao,feminino,34,3,2,5,4
11,nao,feminino,34,4,3,1,4
12,nao,feminino,29,4,1,3,3
13,nao,feminino,34,4,3,3,3
14,nao,feminino,34,3,5,1,3
15,nao,feminino,34,4,4,3,3
16,nao,masculino,34,1,4,2,3
17,nao,feminino,35,4,3,4,2
18,nao,feminino,34,3,2,3,3
19,nao,feminino,34,4,1,3,3
20,nao,feminino,34,3,2,1,4
21,nao,feminino,34,3,2,3,3
22,nao,feminino,35,3,2,3,3
23,nao,feminino,34,4,3,1,4
24,nao,masculino,34,3,2,4,2
25,nao,feminino,32,1,3,1,4
26,nao,feminino,32,4,3,3,5
27,nao,feminino,33,4,1,5,4
28,nao,feminino,34,5,1,4,2
29,nao,feminino,32,1,3,1,4
30,nao,feminino,34,4,4,3,3
31,nao,feminino,34,4,4,3,3
32,nao,feminino,34,1,5,3,3
33,nao,feminino,34,4,4,1,4
34,nao,feminino,32,4,3,3,5
35,nao,feminino,29,4,1,3,3
36,nao,feminino,30,4,3,5,4
37,nao,feminino,31,3,1,2,3
38,nao,feminino,34,4,1,3,1
39,nao,masculino,34,1,4,2,3
40,nao,feminino,31,3,1,2,3
41,nao,feminino,34,4,3,3,3
42,nao,feminino,34,2,4,3,5
43,nao,feminino,34,4,1,1,2
44,nao,masculino,34,5,1,3,3
45,nao,feminino,34,2,2,1,1
46,nao,feminino,34,5,1,4,2
47,nao,feminino,33,4,1,5,4
48,nao,feminino,30,4,3,5,4
49,nao,feminino,34,3,2,3,3
50,nao,feminino,34,4,4,3,3
51,nao,feminino,34,1,5,3,3
52,nao,feminino,32,4,3,3,5
53,nao,feminino,34,1,5,3,3
54,nao,feminino,34,2,3,3,3
55,nao,feminino,30,4,3,5,4
56,nao,feminino,34,3,2,5,4
57,nao,feminino,30,4,3,5,4
58,nao,masculino,34,1,1,4,1
59,nao,feminino,34,3,2,3,3
60,nao,feminino,34,4,3,1,4
61,nao,feminino,34,4,1,1,2
62,nao,feminino,34,3,2,3,3
63,nao,feminino,34,3,2,3,3
64,nao,feminino,34,4,3,1,2
65,nao,feminino,32,4,3,3,5
66,nao,feminino,34,3,2,1,4
67,nao,feminino,34,2,4,1,4
68,nao,feminino,31,3,1,2,3
69,nao,feminino,34,4,1,3,3
70,nao,masculino,34,3,2,4,2
71,nao,feminino,34,2,3,3,3
72,nao,feminino,34,3,2,3,3
73,nao,feminino,34,2,3,3,3
74,nao,masculino,34,3,2,4,2
75,nao,feminino,34,5,1,1,3
76,nao,feminino,34,4,3,3,3
77,nao,feminino,34,2,3,3,1
78,nao,feminino,34,2,2,1,1
79,nao,feminino,34,4,3,1,4
80,nao,feminino,34,2,4,1,4
81,nao,feminino,34,4,3,1,4
82,nao,feminino,34,4,4,3,3
83,nao,feminino,32,4,3,3,5
84,nao,feminino,31,2,3,3,3
85,nao,feminino,34,3,2,5,4
86,nao,feminino,34,3,2,3,3
87,nao,feminino,29,4,1,3,3
88,nao,feminino,34,2,3,3,1
89,nao,feminino,33,4,1,5,4
90,nao,feminino,34,3,2,1,4
91,nao,masculino,34,5,1,3,3
92,nao,feminino,34,4,4,1,4
93,nao,feminino,32,1,3,1,4
94,nao,feminino,34,4,4,3,3
95,nao,feminino,35,4,3,4,2
96,nao,feminino,34,3,5,1,3
97,nao,feminino,31,2,3,3,3
98,nao,feminino,32,1,3,1,4
99,nao,feminino,31,3,1,2,3
100,nao,masculino,34,1,1,4,1
101,nao,feminino,34,3,2,3,3
102,nao,feminino,34,4,4,3,3
103,nao,feminino,34,4,3,1,2
104,nao,masculino,34,1,1,4,1
105,nao,feminino,34,4,1,1,2
106,nao,feminino,35,3,2,3,3
107,nao,feminino,31,2,3,3,3
108,nao,feminino,34,3,2,3,3
109,nao,feminino,31,2,3,3,3
110,nao,feminino,34,4,3,1,4
111,nao,feminino,34,4,1,3,1
112,nao,feminino,34,5,1,1,3
113,nao,feminino,35,4,3,4,2
